,0
677,1947
678,1941
679,1877
680,1629
681,1315
682,796
683,785
684,966
685,894
686,2200
687,1912
688,1869
689,1617
690,1753
691,1816
692,1902
693,1545
694,1969
695,1596
696,1640
697,1252
698,1254
699,1540
700,1315
701,1640
702,1405
703,1455
704,1298
705,1385
706,1707
707,1063
708,1455
709,1243
710,906
711,1117
712,945
713,1103
714,1438
715,1440
716,1398
717,1929
718,1924
719,1955
720,24596
721,6063
722,1737
723,1556
724,1395
725,2080
726,1552
727,1908
728,1544
729,1795
730,1974
731,1968
732,1906
733,1549
734,1463
735,1836
736,1749
737,1506
738,1665
739,1582
740,1546
741,1523
742,1632
743,1800
744,1529
745,1305
746,1396
747,1938
748,1352
749,1336
750,1312
751,1121
752,1258
753,1469
754,1325
755,1373
756,1386
757,1746
758,1780
759,1855
760,1539
761,1989
762,1637
763,1659
764,1515
765,1340
766,1376
767,1466
768,1330
769,1579
770,1375
771,1360
772,1506
773,1633
774,1676
775,1599
776,1449
777,1427
778,1352
779,1260
780,1339
781,1348
782,1444
783,1305
784,1456
785,1274
786,1202
787,1237
788,21859
789,2327
790,1079
791,979
792,934
793,933
794,1101
795,1076
796,1292
797,1503
798,1289
799,1131
800,1233
801,1345
802,1484
803,1242
804,1147
805,1024
806,975
807,1163
808,1128
809,1137
810,1005
811,784
812,858
813,841
814,897
815,858
816,1022
817,896
818,813
819,879
820,641
821,771
822,675
823,745
824,694
825,800
826,841
827,828
828,651
829,875
830,598
831,756
832,630
833,481
834,612
835,536
836,554
837,454
838,496
839,558
840,417
841,531
842,413
843,460
844,360
845,403
846,374
847,397
848,491
849,473
850,447
851,379
852,353
853,443
854,382
855,440
856,646
857,672
858,32161
859,4540
860,1321
861,1256
862,1182
863,983
864,917
865,578
866,537
867,499
868,520
869,425
870,465
871,367
872,503
873,332
874,387
875,430
876,377
877,447
878,409
879,716
880,709
881,656
882,572
883,539
884,547
885,534
886,383
887,333
888,392
889,376
890,375
891,296
892,324
893,377
894,318
895,347
896,330
897,347
898,417
899,562
900,1273
901,958
902,1048
903,1030
904,905
905,868
906,865
907,811
908,710
909,639
910,572
911,676
912,546
913,660
914,688
915,600
916,537
917,592
918,391
919,452
920,468
921,888
922,594
923,524
924,540
925,510
926,537
927,458
928,441
929,438
930,372
931,451
932,417
933,488
934,673
935,653
936,487
937,507
938,597
939,594
940,568
941,1218
942,1090
943,814
944,1000
945,856
946,963
947,744
948,730
949,752
950,727
951,792
952,588
953,696
954,651
955,562
956,771
957,598
958,678
959,644
960,622
961,538
962,794
963,757
964,634
965,635
966,726
967,703
968,546
969,787
970,562
971,574
972,670
973,617
974,583
975,652
976,673
977,526
978,550
979,617
980,538
981,530
982,1058
983,1337
984,1100
985,994
986,875
987,904
988,927
989,927
990,818
991,874
992,873
993,825
994,660
995,804
996,847
997,775
998,625
999,544
1000,505
1001,544
1002,460
1003,766
1004,683
1005,788
1006,658
1007,681
1008,532
1009,759
1010,527
1011,673
1012,660
1013,537
1014,556
1015,474
1016,453
1017,558
1018,820
1019,886
1020,823
1021,715
1022,810
1023,1015
1024,1057
1025,1041
1026,963
1027,956
1028,871
1029,867
1030,783
1031,565
1032,511
1033,495
1034,469
1035,421
1036,461
1037,486
1038,591
1039,486
1040,616
1041,746
1042,771
1043,744
1044,785
1045,1100
1046,719
1047,525
1048,457
1049,350
1050,289
1051,338
1052,396
1053,356
1054,302
1055,311
1056,311
1057,296
1058,425
1059,331
1060,501
1061,593
1062,589
1063,480
1064,442
1065,1298
1066,1024
1067,1078
1068,876
1069,772
1070,730
1071,555
1072,425
1073,454
1074,501
1075,520
1076,477
1077,444
1078,451
1079,509
1080,416
1081,409
1082,395
1083,444
1084,525
1085,457
1086,903
1087,735
1088,573
1089,485
1090,490
1091,453
1092,519
1093,561
1094,501
1095,447
1096,604
1097,525
1098,422
1099,473
1100,637
1101,467
1102,481
1103,454
1104,487
1105,444
1106,612
1107,1314
1108,867
1109,711
1110,732
1111,504
1112,524
1113,532
1114,481
1115,512
1116,462
1117,502
1118,462
1119,479
1120,672
1121,585
1122,550
1123,655
1124,669
1125,516
1126,670
